"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"svalue_shrink"	"log2FC_shrink"	"comparison"	"samples_i"	"normcounts_i"	"samples_j"	"normcounts_j"	"gene_name"	"is_signif_pos"	"is_signif_neg"	"is_signif_any"
"AAEL000001"	629.913243836336	-1.49067322303413	0.132245339892247	-11.2720283697613	1.80366200641331e-29	1.81023116336461e-28	5.48660159151388e-31	-1.47834612835766	"ALL.RUN-SNO"	"RUN"	395.289386801609	"SNO"	1076.42143276884	""	FALSE	TRUE	TRUE
"AAEL000004"	478.794969213825	-0.564100295363627	0.185915506449238	-3.03417561093888	0.00241193986468639	0.00410716680880773	7.24918362309929e-05	-0.547864403028219	"ALL.RUN-SNO"	"RUN"	462.097664503919	"SNO"	662.060934615064	"glycosyltransferase"	FALSE	FALSE	FALSE
"AAEL000005"	352.469070465143	-2.21541825611787	0.202856956922777	-10.9210859204658	9.13964505179773e-28	8.43802918256286e-27	5.65303474497996e-29	-2.18884515908165	"ALL.RUN-SNO"	"RUN"	149.566335775543	"SNO"	671.732389625338	""	FALSE	TRUE	TRUE
"AAEL000006"	1475.70883962064	0.33769549432954	0.49185403249	0.686576650840828	0.492349546435073	0.548854353232872	0.0281055838805012	0.278396215469573	"ALL.RUN-SNO"	"RUN"	1977.89514970526	"SNO"	1510.28888657095	"phosphoenolpyruvate carboxykinase"	FALSE	FALSE	FALSE
"AAEL000008"	473.342453700824	-0.377220837238971	0.160191417629022	-2.35481302820202	0.0185320276678069	0.0280927986985315	0.00057646642384958	-0.368449003329016	"ALL.RUN-SNO"	"RUN"	492.529390360387	"SNO"	619.491095817534	"WD and tetratricopeptide repeat protein"	FALSE	FALSE	FALSE
"AAEL000010"	8858.04379215459	0.10241430328338	0.216356695669329	0.473358603331168	0.635957358642421	0.684212822793356	0.0389902572367885	0.0974692937290584	"ALL.RUN-SNO"	"RUN"	10994.4617776329	"SNO"	9907.27027561799	"Rpl36-1 60S ribosomal protein L36"	FALSE	FALSE	FALSE
"AAEL000011"	0.719995851317955	0.424817118288189	2.95218535966638	0.143899202296768	0.885580065607229	NA	0.0927040034241995	0.0442124028092989	"ALL.RUN-SNO"	"RUN"	0.988541571281102	"SNO"	0.708641299006343	""	FALSE	FALSE	FALSE
"AAEL000012"	4.3447062477607	1.08696160180551	1.22881968673655	0.884557444463003	0.376395367260327	0.435685113267455	0.0324400365532331	0.472557193245671	"ALL.RUN-SNO"	"RUN"	7.07596244855149	"SNO"	3.21118514910318	"Gr6 gustatory receptor Gr6"	FALSE	FALSE	FALSE
"AAEL000013"	265.366103822098	-0.849946639860541	0.227865436433897	-3.7300375746416	0.000191451217216943	0.000370452698739424	5.60707915722956e-06	-0.818607304899862	"ALL.RUN-SNO"	"RUN"	226.28587281907	"SNO"	395.467942726852	"peptidyl-prolyl cis-trans isomerase cyclophilin"	FALSE	FALSE	FALSE
"AAEL000016"	531.653871645754	-1.72039950627139	0.182709022719017	-9.41606211159671	4.6832328667964e-21	2.9831487346488e-20	2.16395419421147e-22	-1.69721697414812	"ALL.RUN-SNO"	"RUN"	295.944614223655	"SNO"	944.393797544709	"Esterase AAEL000016"	FALSE	TRUE	TRUE
"AAEL000017"	28.0587850509516	3.88543199884541	0.64860937640024	5.99040368551165	2.09320809810623e-09	6.21976227182245e-09	2.87993259852116e-10	3.69096637331181	"ALL.RUN-SNO"	"RUN"	62.7706723631175	"SNO"	4.15380123820416	""	TRUE	FALSE	TRUE
"AAEL000018"	0.818998158162711	3.34389719928548	3.35483961250077	0.996738320015502	0.318891544215525	NA	0.0558675353685244	0.276635715366463	"ALL.RUN-SNO"	"RUN"	1.96044847854227	"SNO"	0	""	FALSE	FALSE	FALSE
"AAEL000020"	700.994064016439	0.304212704215662	0.128994057720434	2.3583466524867	0.0183565422276851	0.0278467603252916	0.000540616609601507	0.299869016127863	"ALL.RUN-SNO"	"RUN"	926.545157490384	"SNO"	726.683920074724	""	FALSE	FALSE	FALSE
