"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"svalue_shrink"	"log2FC_shrink"	"comparison"	"samples_i"	"normcounts_i"	"samples_j"	"normcounts_j"	"gene_name"	"is_signif_pos"	"is_signif_neg"	"is_signif_any"
"AAEL000001"	430.191939795468	-0.927398440168879	0.17686956613482	-5.24340314976496	1.57641573068473e-07	7.46140942790788e-07	7.5104465967867e-09	-0.906592643702612	"ALL.RUN-RFE"	"RUN"	395.289386801609	"RFE"	770.03275977794	""	FALSE	FALSE	FALSE
"AAEL000004"	363.484166575103	-0.134832027783715	0.163126503947592	-0.826548871708994	0.408492806881188	0.49731551613878	0.0309604716165131	-0.131029205069129	"ALL.RUN-RFE"	"RUN"	462.097664503919	"RFE"	520.160883163441	"glycosyltransferase"	FALSE	FALSE	FALSE
"AAEL000005"	275.334265812562	-1.96279249158816	0.251263108551497	-7.81170185668494	5.6420898157634e-15	6.062072559025e-14	5.32560862485062e-16	-1.91911434185238	"ALL.RUN-RFE"	"RUN"	149.566335775543	"RFE"	597.010884230171	""	FALSE	TRUE	TRUE
"AAEL000006"	970.815651546381	1.75942009878781	0.496246696997639	3.54545452782366	0.000391936604718982	0.00106962671479892	6.63643257651287e-05	1.58634855887387	"ALL.RUN-RFE"	"RUN"	1977.89514970526	"RFE"	604.197884410547	"phosphoenolpyruvate carboxykinase"	FALSE	FALSE	FALSE
"AAEL000008"	344.472312028961	0.202975382655035	0.210063350013778	0.966257953335131	0.333915120088984	0.421793099312402	0.0247509397100456	0.194685516205199	"ALL.RUN-RFE"	"RUN"	492.529390360387	"RFE"	437.866777889198	"WD and tetratricopeptide repeat protein"	FALSE	FALSE	FALSE
"AAEL000010"	9371.45531750514	-0.321196485264011	0.345336884732572	-0.930096087224348	0.352321336487048	0.440844842101246	0.026487906807921	-0.299118716747669	"ALL.RUN-RFE"	"RUN"	10994.4617776329	"RFE"	14017.1504241005	"Rpl36-1 60S ribosomal protein L36"	FALSE	FALSE	FALSE
"AAEL000011"	0.808882544874886	-0.325713308838774	2.89542679171118	-0.112492330930695	0.910433050178369	NA	0.126402709994393	-0.0340746146863701	"ALL.RUN-RFE"	"RUN"	0.988541571281102	"RFE"	1.22462397273424	""	FALSE	FALSE	FALSE
"AAEL000012"	5.0090065137358	0.173648159824967	0.994961560569502	0.174527506093374	0.861450915741623	0.895509847705979	0.110410690436628	0.0876522755610176	"ALL.RUN-RFE"	"RUN"	7.07596244855149	"RFE"	6.45655481769597	"Gr6 gustatory receptor Gr6"	FALSE	FALSE	FALSE
"AAEL000013"	203.688513977452	-0.47838429091547	0.22463952742818	-2.12956417952052	0.0332076110012309	0.0585609768830983	0.00196556270799353	-0.456549378272798	"ALL.RUN-RFE"	"RUN"	226.28587281907	"RFE"	323.647864030033	"peptidyl-prolyl cis-trans isomerase cyclophilin"	FALSE	FALSE	FALSE
"AAEL000016"	395.950851790013	-1.35520639836739	0.199627301034805	-6.78868266686185	1.13162037543433e-11	8.84041388845525e-11	6.70139655874743e-13	-1.32627501348564	"ALL.RUN-RFE"	"RUN"	295.944614223655	"RFE"	775.345802080406	"Esterase AAEL000016"	FALSE	TRUE	TRUE
"AAEL000017"	90.2739279573271	-1.49319040594502	0.734182947006032	-2.03381243330996	0.0419705104638563	0.0719520297870247	0.00691689624189848	-1.11148242707632	"ALL.RUN-RFE"	"RUN"	62.7706723631175	"RFE"	181.987280029821	""	FALSE	FALSE	FALSE
"AAEL000018"	0.72985440176194	3.02086688499449	3.51686152110635	0.858966685740917	0.390358896094695	NA	0.0870665342532843	0.225917542054035	"ALL.RUN-RFE"	"RUN"	1.96044847854227	"RFE"	0	""	FALSE	FALSE	FALSE
"AAEL000020"	670.123979040087	0.106073623227243	0.153581739360856	0.690665593895978	0.489775715897191	0.575325006953825	0.0392457918142713	0.103802843778496	"ALL.RUN-RFE"	"RUN"	926.545157490384	"RFE"	881.52882315843	""	FALSE	FALSE	FALSE
"AAEL000021"	4.45176422002842	1.59743203885456	1.06630292172115	1.49810340599659	0.134106386321831	0.196503051301289	0.0238418235588781	0.875197206855082	"ALL.RUN-RFE"	"RUN"	8.96004750087662	"RFE"	3.00876413055755	""	FALSE	FALSE	FALSE
"AAEL000022"	244.875419488125	0.268288917002353	0.205554254647553	1.3051975862157	0.191825575913078	0.265179142984876	0.0130268738106265	0.258004880746834	"ALL.RUN-RFE"	"RUN"	355.706480038347	"RFE"	302.969774606447	""	FALSE	FALSE	FALSE
"AAEL000024"	182.33717178918	2.02567422245708	0.287704716076651	7.04080993207422	1.91125572751192e-12	1.60440644298944e-11	1.99643290797096e-13	1.97024103148994	"ALL.RUN-RFE"	"RUN"	390.102081163855	"RFE"	98.5285074445388	"dopachrome-conversion enzyme DCE2C putative"	TRUE	FALSE	TRUE
"AAEL000025"	11.99552531253	-0.782438259337865	0.866713259141752	-0.902764843026241	0.366650713797574	0.455622482885868	0.0410677419854689	-0.458329605420295	"ALL.RUN-RFE"	"RUN"	11.644495159926	"RFE"	20.6486594853704	"phosphoenolpyruvate carboxykinase"	FALSE	FALSE	FALSE
"AAEL000026"	75.4890321652843	-1.12924612522119	0.340795312740654	-3.31356119936001	0.000921159456401169	0.00233193442656544	8.00226140723363e-05	-1.04821337443378	"ALL.RUN-RFE"	"RUN"	62.8151975154867	"RFE"	140.449741974836	"dynein light chain2C putative"	FALSE	FALSE	FALSE
